-40.6306,-59.3352,1.68107
-40.7423,-59.1853,1.67136
-40.6306,-59.3352,1.68107
-40.7836,-59.0628,1.67483
-40.7153,-59.2237,1.67298
-40.7836,-59.0628,1.67483
-40.5227,-59.1668,1.67696
-40.6579,-59.4074,1.67614
-40.5227,-59.1668,1.67696
-40.67,-59.1207,1.67949
-40.6948,-59.4206,1.68033
-40.4739,-59.1138,1.68525
-40.6306,-59.3352,1.68107
-40.7696,-59.0938,1.67987
-40.6306,-59.3352,1.68107
-40.6476,-59.151,1.67729
-40.7638,-59.2571,1.67947
-40.7357,-59.166,1.6834
-40.67,-59.1207,1.67949
-40.6917,-59.2485,1.67166
-40.7638,-59.2571,1.67947
-40.6795,-59.3658,1.67518
-40.648,-59.1898,1.67435
-40.6306,-59.3352,1.68107
-40.648,-59.1898,1.67435
-40.4613,-59.3038,1.68399
-40.6173,-59.4419,1.67797
-40.8388,-59.1992,1.67817
-40.6948,-59.4206,1.68033
-40.4856,-59.0517,1.68371
-40.7638,-59.2571,1.67947
-40.6579,-59.4074,1.67614
-40.6476,-59.151,1.67729
-40.5767,-59.1545,1.68277
-40.4003,-59.1991,1.67639
-40.6476,-59.151,1.67729
-40.8044,-59.3894,1.68364
-40.7897,-58.9066,1.67245
-40.4613,-59.3038,1.68399
-40.7836,-59.0628,1.67483
-40.67,-59.1207,1.67949
-40.6306,-59.3352,1.68107
-40.67,-59.1207,1.67949
-40.8007,-59.046,1.67605
-40.6917,-59.2485,1.67166
-40.9184,-59.3939,1.67543
-40.6579,-59.4074,1.67614
-40.8856,-59.1386,1.6802
-40.7357,-59.166,1.6834
-40.7696,-59.0938,1.67987
-40.7677,-59.0527,1.67365
-40.67,-59.1207,1.67949
-40.5767,-59.1545,1.68277
-40.4613,-59.3038,1.68399
-40.4739,-59.1138,1.68525
-40.5767,-59.1545,1.68277
-40.5022,-59.495,1.69055
-40.6306,-59.3352,1.68107
-40.7638,-59.2571,1.67947
-40.6795,-59.3658,1.67518
-40.6476,-59.151,1.67729
-40.7153,-59.2237,1.67298
-40.8388,-59.1992,1.67817
-40.4095,-59.1362,1.68536
-40.6476,-59.151,1.67729
-40.6306,-59.3352,1.68107
-40.8826,-59.2989,1.67447
-40.4613,-59.3038,1.68399
-40.648,-59.1898,1.67435
-40.4739,-59.1138,1.68525
-40.6476,-59.151,1.67729
-40.7423,-59.1853,1.67136
-40.4613,-59.3038,1.68399
-40.6948,-59.4206,1.68033
-40.8826,-59.2989,1.67447
-40.8007,-59.046,1.67605
-40.6476,-59.151,1.67729
-40.7357,-59.166,1.6834
-40.3384,-59.127,1.68507
-40.7638,-59.2571,1.67947
-40.6476,-59.151,1.67729
-40.5227,-59.1668,1.67696
-40.8007,-59.046,1.67605
-40.6306,-59.3352,1.68107
-40.5227,-59.1668,1.67696
-40.6795,-59.3658,1.67518
-40.648,-59.1898,1.67435
-40.6476,-59.151,1.67729
-40.67,-59.1207,1.67949
-40.7357,-59.166,1.6834
-40.6306,-59.3352,1.68107
